Platform,Date,Time,Text
twitter,2026-02-17,08:00,"The FDA banned Red No. 3. Mars is scrambling to remove artificial dyes from M&M's and Skittles.

USA Gummies? We never used them.

Dye-free from day one. Colored with fruit & vegetable extracts. Made in the USA.

https://www.usagummies.com/dye-free-movement?utm_source=twitter&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=fda_ban"
twitter,2026-02-17,18:00,"Mars promised to remove artificial dyes in 2016. They walked it back.

Now they're promising again for 2026.

Meanwhile, these gummy bears have been dye-free since day one:
https://www.usagummies.com/shop?utm_source=twitter&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=mars_promise"
twitter,2026-02-18,08:00,"In Europe, candy with artificial dyes must carry a warning label:
""May have an adverse effect on activity and attention in children.""

In the US? No warning required.

Full timeline of how we got here:
https://www.usagummies.com/dye-free-movement?utm_source=twitter&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=eu_warning"
twitter,2026-02-19,08:00,"Candies that still have Red 40:
🔴 Haribo Goldbears
🔴 Sour Patch Kids
🔴 Swedish Fish
🔴 Welch's Fruit Snacks
🔴 Jolly Rancher

Candies that don't:
🟢 USA Gummies

Full list: https://www.usagummies.com/blog/what-candy-has-red-40?utm_source=twitter&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=red40_list"
twitter,2026-02-20,12:00,"What's actually in our gummy bears:

✓ Colors from beet juice, turmeric, spirulina, carrot
✓ Natural flavors
✓ Made in the USA
✗ No Red 40
✗ No Yellow 5
✗ No Blue 1

https://www.usagummies.com/ingredients?utm_source=twitter&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=ingredients"
instagram,2026-02-17,10:00,"The FDA just banned Red No. 3 — a dye found in candy, frosting, and fruit snacks for decades.

Mars is scrambling to reformulate M&M's and Skittles. Kraft and General Mills are rushing to catch up.

USA Gummies? We've been dye-free from day one.

Our colors come from real fruit and vegetable extracts: beet juice for red, turmeric for yellow, spirulina for green, carrot for orange.

No artificial dyes. No last-minute reformulations. Just classic gummy bears, made in the USA.

Link in bio for the full dye-free movement timeline.

#dyefreecandy #noartificialdyes #red40free #madeinusa #fdaban #cleancandy #dyefreegummies #usagummies #gummybears #parentingtips #cleaningredients #noredye40"
instagram,2026-02-19,10:00,"How to check any candy for artificial dyes in 10 seconds:

1️⃣ Flip the bag over
2️⃣ Find the ingredients list
3️⃣ Look for any color + number (Red 40, Yellow 5, Blue 1)
4️⃣ Also check for ""artificial colors"" or ""FD&C""

If you see any of those = synthetic dyes.

If you see ""colors from fruit and vegetable juice"" = you're good.

We wrote a full guide on dye-free candy — link in bio.

#dyefreecandy #readthelabel #noartificialdyes #ingredientsmatter #cleancandy #red40free #parentinghacks #healthysnacks #dyefreegummies #usagummies"
facebook,2026-02-17,09:00,"Big changes happening in the candy aisle.

The FDA banned Red No. 3 in January 2025. Mars announced they're removing artificial dyes from M&M's and Skittles. Kraft and General Mills are following.

USA Gummies has been dye-free since we started. Our gummy bears get their colors from beet juice, turmeric, spirulina, and carrot extract — and they're made entirely in the USA.

If you're curious about which candies still use artificial dyes (and which don't), we put together a full breakdown:
https://www.usagummies.com/blog/what-candy-has-red-40?utm_source=facebook&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=red40_list"
facebook,2026-02-20,09:00,"Parents: here's a quick guide to dye-free snacks for kids.

Gummy bears, fruit snacks, crackers, popsicles — we covered every category with specific brand recommendations and label-reading tips.

The short version: look for ""colors from fruit and vegetable juice"" on the label, or just grab USDA Organic (organic rules prohibit synthetic dyes).

Full guide:
https://www.usagummies.com/blog/dye-free-snacks-for-kids?utm_source=facebook&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=kids_guide"
pinterest,2026-02-17,11:00,What Candy Has Red 40? Complete List + Dye-Free Alternatives | Check which popular candy brands still use Red 40 and which are already dye-free. Label-checked list updated for 2026. | https://www.usagummies.com/blog/what-candy-has-red-40?utm_source=pinterest&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=red40_pin
pinterest,2026-02-18,11:00,"Dye-Free Snacks for Kids: Parent's Guide | The best dye-free snacks for kids by category — gummy bears, fruit snacks, crackers, and more. How to read labels and find snacks with no artificial dyes. | https://www.usagummies.com/blog/dye-free-snacks-for-kids?utm_source=pinterest&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=kids_pin"
pinterest,2026-02-19,11:00,The Dye-Free Movement Timeline: From EU Warning Labels to the FDA Ban | A visual timeline of how candy went from artificial colors to natural — and which brands led vs. followed. | https://www.usagummies.com/dye-free-movement?utm_source=pinterest&utm_medium=social&utm_campaign=dyefree_blitz_feb26&utm_content=timeline_pin
tiktok,2026-02-17,18:00,"The FDA banned Red No. 3 and Mars is scrambling. Meanwhile... 👀🇺🇸

#dyefreecandy #red40 #fdaban #gummybears #madeinusa #cleancandy #noartificialdyes #candytok"
