Company Name,Contact First Name,Contact Last Name,Email,Phone,Lead Status,City,State,Website,Notes,Source Database,Business Type,Channel,Reply Received,Reply Summary,Date First Contacted,Notion URL
Ranch & Home Stores,,,customerservice@ranch-home.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8107b83ad13bd48b5216
South 40 Farm Store,,,info@s40fs.com,,Contacted,,,,⚠️ Email bounced (info@s40fs.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81578475da389f5515e8
Fisherman's Marine,,,tevans@fishermans-marine.com,,Contacted,,,,⚠️ Email bounced (tevans@fishermans-marine.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e819aa2e4fa760eb2dd7f
Outfitters Stores,,,info@candboutfitters.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81bf9695e26bf9dd7d29
McLendon Hardware,,,info@mclendons.com,,Contacted,,,,⚠️ Email bounced (info@mclendons.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81c7b416e820036e4550
Huck + Paddle,,,info@huckandpaddle.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8106bda9c448ffa40e7d
Sun Valley Resort Gift Shops,,,svgifts@sunvalley.com,,Contacted,,,,⚠️ Email bounced (svgifts@sunvalley.com),B2B Prospect Pipeline,Gift Shop,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e812aad55e683e611caa8
Old Town Candy & Toys,,,info@oldtowncandyandtoys.com,,Contacted,,,,⚠️ Email bounced (info@oldtowncandyandtoys.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e812f897ed6265695b3cf
Five and Dime General Store,,,info@fiveanddimegs.com,,Contacted,,,,⚠️ Email bounced (info@fiveanddimegs.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e813691f1fe55dfa8d5ca
Cake,,,info@cakeparkcity.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e814387e7e3fab9f98206
Willow Boutique,,,willow@3rivers.net,,Contacted,,,,⚠️ Email bounced (willow@3rivers.net),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81469227e2478bb6d64c
Fuzziwig's,,,info@fuzziwigscandyfactory.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e815088daca1048771355
Aspen Emporium,,,info@aspenemporium.com,,Contacted,,,,⚠️ Email bounced (info@aspenemporium.com),B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e8151ab93c6a0d61d6088
Independent Goods,,,info@independentgoods.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-06,https://www.notion.so/33a4c0c42c2e81789809fccfc9824487
Boot Barn's Checkout,,,ktreadwell@bootbarn.com,,Contacted,,,,,B2B Prospect Pipeline,Snack / Candy Retailer,Direct Wholesale,No,,2026-04-05,https://www.notion.so/33a4c0c42c2e817cbd8fd4aca82fb689
