"Consolidated Transactions Report - Mar 12, 2025 - Mar 31, 2026"


Date,Institution,Account Name,Account Mask,Description,Amount,Currency,GL Account #,GL Account Name,Vendor Name,Customer Name,Classifications,GroupingID
2026-03-23,Capital One,Platinum,8133,ANTHROPIC,-21.69,USD,66200,Software - Operating Expense,Anthropic,,,
2026-03-23,Capital One,Platinum,8133,OWNERREZ,-54.00,USD,,No Category,Ownerrez,,,
2026-03-23,Bank of America,Business Adv Fundamentals,7020,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,-65.14,USD,68400,Shipping,Pirate Ship,,,
2026-03-23,Bank of America,Business Adv Fundamentals,7020,Zelle payment to Katie Mettler Conf# w1steeipv,-2000.00,USD,,No Category,,,,
2026-03-21,Capital One,Platinum,8133,ANTHROPIC,-21.70,USD,66200,Software - Operating Expense,Anthropic,,,
2026-03-21,Capital One,Platinum,8133,Amazon Payments,-134.70,USD,,No Category,Amazon,,,
2026-03-20,Bank of America,Business Adv Fundamentals,7020,INTUIT * DES:QBooks Onl ID:7029550 INDN:USA GUMMIES CO ID:XXXXX56346 CCD,-57.50,USD,66200,Software - Operating Expense,Intuit,,,
2026-03-20,Bank of America,Business Adv Fundamentals,7020,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,-449.67,USD,68400,Shipping,Pirate Ship,,,
2026-03-19,Bank of America,Business Adv Fundamentals,7020,SHOPIFY DES:SHOPIFY ID:ST-J2O9F2D7M5H3 INDN:USA GUMMIES LLC CO ID: XXXXX8598 CCD,24.02,USD,,No Category,,,,
2026-03-19,Capital One,Platinum,8133,Office Depot,-72.73,USD,68300,Supplies,Office Depot,,,
2026-03-19,Capital One,Platinum,8133,SHOPIFY*XXXXXXXXXX,-105.00,USD,51000,Hosting Fees,shopify,,,
2026-03-18,Capital One,Platinum,8133,ANTHROPIC,-27.00,USD,66200,Software - Operating Expense,Anthropic,,,
2026-03-18,Bank of America,Business Adv Fundamentals,7020,COMPANY SAGE DES:COMPANY SA ID:ST-Y6B7T8A1Y6D4 INDN:USA GUMMIES CO ID:XXXXX65600 WEB,-29.99,USD,,No Category,Company Sage,,,
