Date,Amount,Vendor,Description,Category,GL_Number,Bank_Account,Account_Mask
2026-03-23,-21.69,Anthropic,ANTHROPIC,Software - Operating Expense,66200,Platinum,8133
2026-03-23,-54.00,Ownerrez,OWNERREZ,No Category,,Platinum,8133
2026-03-23,-65.14,Pirate Ship,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-23,-2000.00,,Zelle payment to Katie Mettler Conf# w1steeipv,No Category,,Business Adv Fundamentals,7020
2026-03-21,-21.70,Anthropic,ANTHROPIC,Software - Operating Expense,66200,Platinum,8133
2026-03-21,-134.70,Amazon,Amazon Payments,No Category,,Platinum,8133
2026-03-20,-57.50,Intuit,INTUIT * DES:QBooks Onl ID:7029550 INDN:USA GUMMIES CO ID:XXXXX56346 CCD,Software - Operating Expense,66200,Business Adv Fundamentals,7020
2026-03-20,-449.67,Pirate Ship,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-19,24.02,,SHOPIFY DES:SHOPIFY ID:ST-J2O9F2D7M5H3 INDN:USA GUMMIES LLC CO ID: XXXXX8598 CCD,No Category,,Business Adv Fundamentals,7020
2026-03-19,-72.73,Office Depot,Office Depot,Supplies,68300,Platinum,8133
2026-03-19,-105.00,shopify,SHOPIFY*XXXXXXXXXX,Hosting Fees,51000,Platinum,8133
2026-03-18,-27.00,Anthropic,ANTHROPIC,Software - Operating Expense,66200,Platinum,8133
2026-03-18,-29.99,Company Sage,COMPANY SAGE DES:COMPANY SA ID:ST-Y6B7T8A1Y6D4 INDN:USA GUMMIES CO ID:XXXXX65600 WEB,No Category,,Business Adv Fundamentals,7020
2026-03-18,-30.00,,Wire Transfer Fee,Bank Fees,68600,Business Adv Fundamentals,7020
2026-03-18,-60.75,Pirate Ship,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-18,-228.78,Pirate Ship,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-18,-6989.66,,"WIRE TYPE:WIRE OUT DATE:260318 TIME:0508 ET TRN:XXXXXXXXXX557727 SERVICE REF:003531 BNF:BELMARK ID:19392580 BNF BK:ASSOCIATED BANK, N. A. ID:XXXXX0575 PMT DET:TTV9A8K3J /ACC/USA GUMMIES",No Category,,Business Adv Fundamentals,7020
2026-03-17,23.87,,Shopify DES:Shopify ID:ST-M8D0Y8J7E3A5 INDN:USA GUMMIES LLC CO ID:XXXXX48598 CCD,No Category,,Business Adv Fundamentals,7020
2026-03-17,0.18,,Pirate Ship DES:PSHIP CASH ID:01faa2e6314d INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-17,-7.32,Pirate Ship,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-17,-30.00,,Wire Transfer Fee,Bank Fees,68600,Business Adv Fundamentals,7020
2026-03-17,-51.84,Notion,"NOTION LABS, INC.",Software - Operating Expense,66200,Platinum,8133
2026-03-17,-100.00,Claude.ai,CLAUDE.AI SUBSCRIPTION,Software - Operating Expense,66200,Platinum,8133
2026-03-17,-128.52,Claude.ai,CLAUDE.AI SUBSCRIPTION,Software - Operating Expense,66200,Platinum,8133
2026-03-17,-55244.50,,WIRE TYPE:WIRE OUT DATE:260317 TIME:1842 ET TRN:XXXXXXXXXX557423 SERVICE REF:016376 BNF:ALBANESE CONFECTIONERY GRO ID:1658640 BNF BK:B MO BANK N.A. ID:XXXXX0288 PMT DET:TEGCPT7YH /ACC/U SA GUMMIES,No Category,,Business Adv Fundamentals,7020
2026-03-16,-25.94,Svcs Rainier Lux,SVCSrainierlux,Entertainment,63400,Platinum,8133
2026-03-16,-43.75,Slack,SLACK T08JY86Q4TA,Software - Operating Expense,66200,Platinum,8133
2026-03-16,-60.00,OpenAI,OPENAI *CHATGPT SUBSCR,Software - Operating Expense,66200,Platinum,8133
2026-03-16,-188.68,T-Mobile,T-Mobile,Utilities,67300,Business Adv Fundamentals,7020
2026-03-16,-1083.70,Nerd Alley,GDP*Nerd Alley 3DPrint,No Category,,Platinum,8133
2026-03-16,-1546.52,GEICO,GEICO,Insurance,68100,Business Adv Fundamentals,7020
2026-03-13,0.51,,MyOCCU DES:ACCTVERIFY ID: INDN:Benjamin Stutman CO ID:XXXXX4461 WEB,No Category,,Business Adv Fundamentals,7020
2026-03-13,0.15,,MyOCCU DES:ACCTVERIFY ID: INDN:Benjamin Stutman CO ID:XXXXX4461 WEB,No Category,,Business Adv Fundamentals,7020
2026-03-13,-0.66,Myoccu,MyOCCU DES:ACCTVERIFY ID: INDN:Benjamin Stutman CO ID:XXXXX4461 WEB,No Category,,Business Adv Fundamentals,7020
2026-03-13,-6.29,Pirate Ship,Pirate Ship DES:payment ID:payment INDN:USA Gummies CO ID:XXXXX11058 WEB,Shipping,68400,Business Adv Fundamentals,7020
2026-03-13,-15.00,,Wire Transfer Fee,Bank Fees,68600,Business Adv Fundamentals,7020
2026-03-13,-3496.76,,CAPITAL ONE AUTO DES:CARPAY ID:CP0E3B97E41232B INDN:Benjamin Stutman CO ID:XXXXX19806 CCD,No Category,,Business Adv Fundamentals,7020
2026-03-12,99970.00,,WIRE TYPE:BOOK IN DATE:260312 TIME:1337 ET TRN:XXXXXXXXXX454815 SNDR REF:XXXXX0296 ORIG:1/THE RENE G. GONZALEZ TR ID:XXXXX4747301 PMT DET:BALANCE LOAD $30 PREV SENT,No Category,,Business Adv Fundamentals,7020
2026-03-12,3193.45,,CAPITAL ONE MOBILE PYMT,Credit Card Payments,21111,Platinum,8133
2026-03-12,60.48,,Found DES:Transfer ID: INDN:Benjamin Stutman CO ID:XXXXX44643 PPD,No Category,,Business Adv Fundamentals,7020
2026-03-12,10.00,,"Online transfer from CHK 7301 Confirmation# p5vv8i64b; GONZALEZ, RENE",No Category,,Business Adv Fundamentals,7020
2026-03-12,-1722.83,,CAPITAL ONE DES:MOBILE PMT ID:CA04B997693DEE2 INDN:Benjamin Stutman CO ID:XXXXX44380 CCD,No Category,,Business Adv Fundamentals,7020
2026-03-12,-1937.61,,AMERICAN EXPRESS DES:ACH PMT ID:W2894 INDN:USA GUMMIES CO ID:XXXXX33497 WEB,No Category,,Business Adv Fundamentals,7020
2026-03-12,-3193.45,,CAPITAL ONE DES:MOBILE PMT ID:CA03CC110EF226B INDN:Benjamin Stutman CO ID:XXXXX44380 CCD,Credit Card Payments,21111,Business Adv Fundamentals,7020
2026-03-11,-60.48,,Bank Account 7020,No Category,,Business Adv Fundamentals,7020
2026-03-10,59.48,,Found Plus,No Category,,Business Adv Fundamentals,7020
2026-03-10,10.00,,THE RENE G. GONZALEZ TRUST RENE G GONZALEZ TRTEE U/A 03/05/2018,No Category,,Business Adv Fundamentals,7020
2026-03-10,-5.00,,Anthropic,Software - Operating Expense,66200,Business Adv Fundamentals,7020
2026-03-10,-5.92,Pirate Ship,PIRATE SHIP,Shipping,68400,Business Adv Fundamentals,7020
2026-03-10,-7.18,Pirate Ship,PIRATE SHIP,Shipping,68400,Business Adv Fundamentals,7020
2026-03-10,-20.00,,Anthropic,Software - Operating Expense,66200,Business Adv Fundamentals,7020
2026-03-09,24.02,,Shopify,No Category,,Business Adv Fundamentals,7020
2026-03-09,7.52,,Social media to Primary,No Category,,Business Adv Fundamentals,7020
2026-03-09,-10.92,Pirate Ship,PIRATE SHIP,Shipping,68400,Business Adv Fundamentals,7020
2026-03-09,-24.00,,PADDLE.NET* N8N CLOUD1,Software - Operating Expense,66200,Business Adv Fundamentals,7020
2026-03-08,35.81,Amazon,AMAZON.CUZV6OZVX,No Category,,Business Adv Fundamentals,7020
2026-03-07,-25.00,,ASHFORD VALLEY G,No Category,,Business Adv Fundamentals,7020
2026-03-06,36.00,,Niki Lodato,No Category,,Business Adv Fundamentals,7020
2026-03-06,7.64,,Social media to Primary,No Category,,Business Adv Fundamentals,7020
2026-03-06,-49.79,Google,GOOGLE *SVCSusagummies,No Category,,Business Adv Fundamentals,7020
2026-03-05,39.41,,FAIRE WHOLESALE,No Category,,Business Adv Fundamentals,7020
2026-03-05,9.00,,Social media to Primary,No Category,,Business Adv Fundamentals,7020
2026-03-04,26.00,,Social media to Primary,No Category,,Business Adv Fundamentals,7020
2026-03-04,-1.19,Google,Google Workspace_raini,No Category,,Business Adv Fundamentals,7020
2026-03-04,-5.00,,Anthropic,Software - Operating Expense,66200,Business Adv Fundamentals,7020
2026-03-04,-6.30,Pirate Ship,PIRATE SHIP,Shipping,68400,Business Adv Fundamentals,7020
2026-03-04,-22.35,Pirate Ship,PIRATE SHIP,Shipping,68400,Business Adv Fundamentals,7020
2026-03-04,-25.00,,Anthropic,Software - Operating Expense,66200,Business Adv Fundamentals,7020
2026-03-02,49.31,,SHOPIFY,No Category,,Business Adv Fundamentals,7020
2026-03-02,37.49,Amazon,AMAZON.CGGC7330Q,No Category,,Business Adv Fundamentals,7020
2026-03-02,-69.45,,INTEREST CHARGE:PURCHASES,Interest Expense,87000,Platinum,8133
2026-03-01,0.12,,Balance bonus,No Category,,Business Adv Fundamentals,7020
